student_id,branch,semester,cgpa,tenth_percentage,twelfth_percentage,backlogs_history,active_backlogs,quantitative_aptitude,logical_reasoning,coding_benchmark,skills_python,skills_java,skills_cpp,skills_dsa,skills_sql,skills_web,skills_cloud,skills_ml,internships,projects_count,certifications_count,hackathons,communication_rating,interview_rating,primary_track,placement_probability,readiness_status,placed
STU-2026-00011,CSE,6,8.65,78.3,79.4,0,0,77.5,89.3,76.0,7.6,6.0,6.1,8.0,10.0,9.3,1.2,8.0,0,3,2,2,7.4,8.9,Data Analyst / ML Engineer,99.6,Ready,1
STU-2026-00012,Civil,6,6.91,73.8,77.2,1,1,71.8,80.8,90.9,9.9,8.6,7.3,9.6,9.9,4.8,5.9,10.0,0,2,4,0,6.5,8.2,Data Analyst / ML Engineer,99.6,Ready,1
STU-2026-00013,EEE,8,6.01,56.6,62.9,2,0,72.4,63.7,55.3,9.3,5.5,6.8,6.3,0.0,6.1,5.9,7.3,2,5,3,0,6.0,6.8,Core Systems / SDE,74.8,Near-Ready,1
STU-2026-00014,CSE,7,8.48,76.2,69.9,0,0,74.4,98.8,94.0,8.8,7.2,7.7,8.8,8.4,10.0,4.9,7.4,1,2,1,4,8.3,8.2,Core Systems / SDE,99.9,Ready,1
STU-2026-00015,CSE,8,7.31,77.6,71.8,0,0,85.2,69.9,73.5,6.2,6.7,6.7,0.0,10.0,10.0,6.3,6.7,2,1,3,0,6.8,6.6,Full-Stack Developer,96.4,Ready,1
STU-2026-00016,CSE,8,8.06,84.4,86.0,0,0,92.2,95.2,99.0,10.0,9.1,10.0,9.5,10.0,10.0,3.6,10.0,3,3,0,3,7.8,6.6,Core Systems / SDE,100.0,Ready,1
STU-2026-00017,CSE,7,9.4,89.0,93.4,0,0,77.8,99.0,95.6,10.0,9.2,8.7,10.0,0.0,7.5,2.5,7.4,0,3,2,2,7.7,9.9,Core Systems / SDE,98.8,Ready,1
STU-2026-00018,ISE,7,6.61,76.7,74.2,1,0,80.5,60.0,84.8,8.4,10.0,9.2,8.4,0.0,10.0,5.2,8.5,1,0,3,2,8.6,7.2,Core Systems / SDE,89.8,Ready,1
STU-2026-00019,ISE,6,7.24,71.3,60.0,1,0,58.2,67.0,87.1,8.8,8.1,6.2,9.2,7.0,10.0,4.2,5.3,0,1,2,0,7.9,6.4,Core Systems / SDE,97.8,Ready,1
STU-2026-00020,CSE,7,9.13,88.0,86.7,0,0,83.9,80.3,99.0,8.1,10.0,9.8,0.0,0.0,10.0,0.9,9.8,0,1,1,1,7.5,10.0,Core Systems / SDE,0.5,Needs Training,0
STU-2026-00021,ECE,7,8.14,80.9,75.3,0,0,73.2,83.7,56.5,3.9,3.8,4.5,0.0,0.0,6.0,8.4,7.9,1,4,3,0,5.9,6.7,Cloud / DevOps Engineer,2.3,Needs Training,0
STU-2026-00022,CSE,8,6.63,66.9,69.5,1,1,67.6,61.7,75.1,7.8,8.7,4.2,6.9,7.9,10.0,6.7,10.0,1,0,1,2,10.0,8.3,Data Analyst / ML Engineer,92.7,Ready,1
STU-2026-00023,CSE,6,6.35,73.6,57.1,3,0,65.2,82.6,75.4,8.0,10.0,5.9,8.9,0.0,10.0,1.1,6.3,0,7,0,3,5.6,7.5,Core Systems / SDE,78.3,Ready,1
STU-2026-00024,ISE,7,6.82,63.7,60.9,2,2,55.9,68.0,96.8,10.0,10.0,9.8,9.3,5.6,10.0,3.7,8.7,0,3,4,0,7.0,7.5,Core Systems / SDE,90.5,Ready,1
STU-2026-00025,ISE,6,6.59,63.5,65.0,3,3,86.9,57.9,88.8,7.3,6.5,5.5,10.0,8.1,10.0,2.4,10.0,2,1,3,1,8.1,7.4,Core Systems / SDE,92.4,Ready,1
STU-2026-00026,EEE,8,7.66,70.0,67.4,3,3,71.6,84.6,70.7,6.6,5.4,8.0,6.6,9.1,2.7,7.9,10.0,2,0,1,0,7.7,7.7,Data Analyst / ML Engineer,63.9,Near-Ready,1
STU-2026-00027,CSE,7,7.49,86.9,74.2,0,0,40.5,51.4,87.3,7.6,7.8,8.4,9.2,0.0,10.0,5.0,9.8,2,4,4,0,8.0,8.4,Core Systems / SDE,98.4,Ready,1
STU-2026-00028,ISE,7,7.71,75.6,59.9,1,1,86.0,63.1,81.3,8.0,8.4,4.6,6.5,10.0,10.0,5.0,8.1,0,2,3,1,8.3,6.2,Data Analyst / ML Engineer,96.9,Ready,1
STU-2026-00029,ECE,7,6.48,62.4,72.3,1,0,61.6,54.6,62.1,4.2,6.1,5.6,6.9,0.0,5.8,1.8,7.7,1,1,2,1,7.9,7.3,Core Systems / SDE,75.9,Ready,1
STU-2026-00030,CSE,7,7.32,72.5,51.5,2,0,64.9,80.4,68.8,8.1,6.2,6.5,6.9,0.0,10.0,5.2,8.1,1,3,4,3,6.4,7.9,Core Systems / SDE,90.7,Ready,1
STU-2026-00031,ECE,7,5.14,60.8,59.5,4,3,50.0,62.9,50.9,5.0,4.6,5.1,0.0,6.5,1.3,6.3,4.2,0,0,0,1,5.5,6.8,Data Analyst / ML Engineer,0.0,Needs Training,0
STU-2026-00032,CSE,8,7.56,80.2,68.9,0,0,76.6,79.2,76.9,7.3,7.5,5.9,0.0,9.7,10.0,2.8,10.0,1,2,0,1,7.0,7.1,Data Analyst / ML Engineer,82.1,Ready,1
STU-2026-00033,CSE,6,8.69,82.4,72.1,1,1,73.9,81.6,78.7,9.0,6.9,6.3,7.8,0.0,10.0,3.0,6.4,1,1,3,2,9.3,9.3,Core Systems / SDE,96.8,Ready,1
STU-2026-00034,Mech,8,5.83,59.2,60.0,1,0,56.7,80.2,47.0,6.3,4.1,3.9,5.2,0.0,8.3,4.1,8.1,0,4,1,0,8.3,9.7,Core Systems / SDE,40.8,Needs Training,0
STU-2026-00035,Civil,7,7.93,70.7,82.2,0,0,76.9,84.5,79.8,9.1,6.4,8.0,0.0,9.7,1.5,4.3,6.4,0,1,2,0,6.8,7.1,Data Analyst / ML Engineer,86.3,Ready,1
STU-2026-00036,EEE,8,6.73,70.0,74.3,0,0,59.7,66.0,43.9,6.4,6.0,3.8,4.0,9.4,0.2,4.9,6.3,0,1,0,0,6.2,6.1,Data Analyst / ML Engineer,63.3,Near-Ready,1
STU-2026-00037,CSE,7,8.28,90.1,86.8,0,0,89.1,80.1,89.6,9.5,7.2,7.9,8.1,10.0,10.0,4.7,10.0,1,0,3,0,6.3,6.7,Data Analyst / ML Engineer,99.6,Ready,1
STU-2026-00038,CSE,7,7.57,72.9,67.1,0,0,54.5,74.6,64.2,8.6,6.5,5.1,7.5,8.9,10.0,2.1,5.4,1,5,5,0,8.4,6.8,Full-Stack Developer,99.8,Ready,1
STU-2026-00039,ECE,8,7.85,82.5,76.8,1,0,76.9,93.3,68.0,6.4,6.1,7.0,5.4,9.0,2.7,1.0,9.8,1,3,1,2,6.1,7.8,Data Analyst / ML Engineer,96.9,Ready,1
STU-2026-00040,ISE,7,7.47,72.0,59.8,2,0,68.9,78.5,74.3,4.4,4.6,8.0,0.0,7.7,4.5,4.7,10.0,1,3,2,0,6.8,6.4,Data Analyst / ML Engineer,11.1,Needs Training,0
STU-2026-00041,CSE,7,8.86,80.7,84.2,0,0,91.7,88.0,77.3,9.9,6.1,6.1,8.6,10.0,10.0,3.3,10.0,1,3,1,1,5.7,7.2,Data Analyst / ML Engineer,99.8,Ready,1
STU-2026-00042,ISE,6,7.78,82.2,77.2,0,0,75.2,52.0,92.7,8.8,9.5,6.6,10.0,0.0,10.0,3.3,8.0,0,1,3,0,7.1,7.2,Core Systems / SDE,97.1,Ready,1
STU-2026-00043,CSE,6,6.62,82.4,62.7,0,0,79.8,57.4,61.3,5.2,3.2,6.3,5.6,9.0,10.0,4.9,10.0,3,1,5,0,7.5,9.1,Data Analyst / ML Engineer,99.8,Ready,1
STU-2026-00044,Mech,7,7.51,79.1,59.7,0,0,85.7,67.9,62.1,7.5,5.1,7.5,7.5,10.0,6.8,2.6,10.0,1,3,1,1,5.7,6.5,Data Analyst / ML Engineer,98.6,Ready,1
STU-2026-00045,CSE,7,6.99,69.0,64.2,1,0,74.1,56.0,58.8,6.1,4.6,6.2,5.7,8.7,10.0,2.4,7.2,1,2,3,0,7.2,5.2,Data Analyst / ML Engineer,92.7,Ready,1
STU-2026-00046,ECE,7,7.58,74.3,86.5,1,0,60.9,76.3,85.8,10.0,7.2,9.2,9.5,7.9,7.5,2.9,8.2,2,4,0,2,7.8,8.2,Core Systems / SDE,99.9,Ready,1
STU-2026-00047,CSE,6,6.94,82.4,70.6,1,0,71.8,74.7,68.9,6.8,6.1,4.4,7.2,10.0,10.0,7.5,8.0,0,1,1,1,6.0,6.9,Data Analyst / ML Engineer,94.2,Ready,1
STU-2026-00048,ISE,7,6.66,70.4,62.2,1,0,49.4,68.6,99.0,8.8,8.2,8.2,9.1,5.9,10.0,8.2,7.0,0,4,1,2,8.0,7.4,Core Systems / SDE,99.0,Ready,1
STU-2026-00049,ISE,7,7.62,72.2,72.4,0,0,72.5,84.5,80.4,9.7,7.4,6.8,7.2,9.8,10.0,3.5,9.5,1,5,0,3,7.2,6.4,Data Analyst / ML Engineer,99.5,Ready,1
STU-2026-00050,CSE,7,7.46,75.0,74.9,0,0,90.3,68.9,99.0,10.0,10.0,10.0,8.3,9.7,7.5,3.6,8.6,1,1,1,0,7.4,7.5,Core Systems / SDE,99.7,Ready,1
STU-2026-00051,Civil,8,8.57,86.1,70.4,0,0,74.7,66.7,87.4,8.6,8.5,9.6,9.5,9.3,6.8,0.4,6.6,0,0,1,0,6.2,7.1,Core Systems / SDE,99.6,Ready,1
STU-2026-00052,EEE,7,6.94,73.8,57.5,2,2,58.0,67.6,58.8,5.3,5.2,5.7,0.0,7.5,4.4,1.7,7.5,1,3,2,0,4.9,6.0,Data Analyst / ML Engineer,0.2,Needs Training,0
STU-2026-00053,Mech,6,5.22,65.5,50.0,3,1,73.3,50.0,68.6,6.5,5.8,9.0,8.1,8.4,7.6,5.4,10.0,1,4,0,1,6.5,5.5,Core Systems / SDE,75.5,Ready,1
STU-2026-00054,Mech,8,7.0,79.2,64.8,3,3,70.5,65.7,65.7,4.3,6.2,4.9,9.1,10.0,0.7,3.9,7.7,0,0,1,2,5.7,5.4,Core Systems / SDE,23.1,Needs Training,0
STU-2026-00055,ECE,7,5.61,60.9,69.6,4,1,65.1,41.1,52.9,4.2,2.5,5.4,5.2,0.0,5.3,3.8,6.0,2,1,2,0,6.6,3.8,Core Systems / SDE,7.7,Needs Training,0
STU-2026-00056,Mech,7,7.86,78.5,75.9,1,1,79.4,71.3,84.1,8.3,10.0,7.4,8.2,8.2,2.9,4.1,5.5,0,3,1,0,6.7,7.3,Core Systems / SDE,97.1,Ready,1
STU-2026-00057,CSE,6,5.56,61.6,53.0,3,2,74.7,83.8,50.4,5.1,5.6,2.9,4.3,0.0,8.9,0.0,10.0,1,0,2,2,7.9,8.9,Data Analyst / ML Engineer,10.0,Needs Training,0
STU-2026-00058,CSE,7,6.31,62.0,63.2,3,3,77.2,42.1,62.8,6.4,8.2,7.7,6.2,7.7,10.0,5.4,8.5,0,1,4,1,6.7,6.4,Full-Stack Developer,16.2,Needs Training,0
STU-2026-00059,CSE,7,7.0,77.4,54.2,3,0,87.3,63.3,67.4,7.2,6.4,4.5,6.8,9.2,10.0,3.3,8.9,3,0,0,0,4.8,4.8,Data Analyst / ML Engineer,89.5,Ready,1
STU-2026-00060,CSE,7,9.1,88.1,79.3,0,0,91.0,99.0,85.5,5.6,7.2,4.6,8.6,10.0,10.0,2.4,4.8,2,2,1,0,6.6,7.5,Core Systems / SDE,100.0,Ready,1
STU-2026-00061,ISE,6,6.22,67.8,56.8,2,2,75.9,70.2,57.5,4.7,7.4,3.8,6.3,7.9,10.0,2.0,10.0,1,2,3,1,5.0,7.0,Data Analyst / ML Engineer,45.4,Needs Training,0
STU-2026-00062,CSE,6,7.41,85.3,64.6,1,0,64.8,74.8,93.1,8.1,6.8,8.3,7.1,9.0,8.4,2.5,1.5,1,6,3,1,6.0,6.2,Core Systems / SDE,99.7,Ready,1
STU-2026-00063,EEE,6,8.04,83.6,85.6,0,0,82.7,74.7,75.3,7.1,6.5,7.4,6.3,8.3,2.7,4.7,10.0,0,6,0,1,7.4,7.8,Data Analyst / ML Engineer,99.1,Ready,1
STU-2026-00064,ISE,7,9.03,90.2,89.7,0,0,67.7,92.5,98.8,10.0,6.9,7.0,0.0,8.7,9.9,2.8,5.8,1,4,1,2,9.9,9.8,Data Analyst / ML Engineer,98.3,Ready,1
STU-2026-00065,CSE,6,8.26,79.1,70.2,0,0,85.1,87.9,67.0,7.2,8.5,5.4,0.0,10.0,7.7,3.1,10.0,1,2,2,3,5.4,5.7,Data Analyst / ML Engineer,90.9,Ready,1
STU-2026-00066,ISE,7,8.6,84.7,72.7,0,0,75.4,88.1,98.2,10.0,10.0,8.2,0.0,10.0,10.0,3.7,5.3,1,2,2,1,7.2,8.5,Full-Stack Developer,94.2,Ready,1
STU-2026-00067,CSE,6,8.35,76.2,70.7,0,0,87.0,64.1,86.4,9.6,7.2,9.2,8.3,10.0,10.0,0.0,10.0,1,5,1,1,5.5,5.8,Data Analyst / ML Engineer,99.9,Ready,1
STU-2026-00068,EEE,7,6.07,66.8,59.5,3,3,71.3,43.6,49.7,4.6,5.3,3.4,6.1,7.3,6.2,6.2,8.5,1,4,0,0,7.5,5.3,Data Analyst / ML Engineer,12.1,Needs Training,0
STU-2026-00069,CSE,6,7.8,65.5,76.3,0,0,63.0,70.4,81.2,7.7,6.8,8.1,7.5,0.0,9.7,3.7,10.0,1,0,1,2,5.8,4.6,Core Systems / SDE,60.1,Near-Ready,1
STU-2026-00070,Civil,8,8.33,88.6,82.2,0,0,80.0,95.4,80.0,10.0,7.1,7.8,7.4,8.6,6.1,2.6,5.1,0,1,3,0,6.3,9.6,Core Systems / SDE,99.8,Ready,1
STU-2026-00071,EEE,8,6.35,70.3,56.0,1,1,58.3,46.7,43.9,3.2,5.3,1.6,0.0,7.9,2.8,6.8,10.0,0,0,2,2,4.9,5.4,Data Analyst / ML Engineer,0.3,Needs Training,0
STU-2026-00072,CSE,7,6.76,70.1,65.2,1,1,89.1,71.3,77.5,8.2,6.4,7.3,6.8,0.0,4.4,1.4,10.0,0,3,2,1,7.3,5.1,Core Systems / SDE,69.8,Near-Ready,1
STU-2026-00073,CSE,7,6.52,64.2,64.0,2,1,53.1,70.6,70.4,7.5,6.4,8.5,0.0,0.0,9.2,0.0,10.0,1,4,1,0,7.1,8.1,Data Analyst / ML Engineer,0.3,Needs Training,0
STU-2026-00074,EEE,6,8.25,82.0,87.0,0,0,75.9,73.5,62.7,4.2,4.8,6.4,6.1,10.0,3.8,4.3,10.0,0,1,2,3,6.5,7.9,Data Analyst / ML Engineer,96.7,Ready,1
STU-2026-00075,ECE,8,7.32,63.6,76.5,2,1,44.0,71.2,79.8,8.3,9.2,7.5,7.9,5.9,5.5,1.0,9.8,1,4,0,0,9.7,9.1,Core Systems / SDE,97.2,Ready,1
STU-2026-00076,ECE,7,7.05,76.8,58.7,2,1,66.1,99.0,77.8,5.7,7.9,7.9,7.4,9.9,4.8,5.6,7.5,1,2,3,0,6.7,7.6,Core Systems / SDE,98.0,Ready,1
STU-2026-00077,EEE,6,5.99,61.9,50.0,3,0,63.8,48.2,60.4,6.9,6.5,6.1,6.4,7.9,8.8,7.1,10.0,1,4,2,0,8.8,7.2,Data Analyst / ML Engineer,93.3,Ready,1
STU-2026-00078,CSE,7,7.33,83.4,70.3,2,1,46.0,86.0,88.8,8.2,8.3,8.3,8.9,7.6,6.9,5.5,3.8,2,4,3,2,8.3,8.1,Core Systems / SDE,99.4,Ready,1
STU-2026-00079,ISE,6,6.78,71.9,62.1,2,1,64.0,72.7,67.3,6.5,7.6,5.4,7.1,8.5,10.0,0.7,6.7,0,2,1,2,5.0,6.7,Full-Stack Developer,77.5,Ready,1
STU-2026-00080,CSE,7,7.67,78.6,67.1,1,1,95.6,76.0,69.1,6.3,6.5,6.8,8.3,10.0,10.0,4.9,10.0,0,1,1,0,4.7,6.5,Data Analyst / ML Engineer,81.7,Ready,1
STU-2026-00081,Mech,7,6.14,66.6,56.1,3,1,61.1,55.0,57.0,5.5,2.7,6.8,7.7,8.0,5.0,2.6,10.0,1,3,1,0,7.7,7.2,Data Analyst / ML Engineer,80.3,Ready,1
STU-2026-00082,ECE,7,7.6,70.7,77.3,2,1,70.7,86.6,88.4,8.5,7.7,8.3,7.6,8.5,4.8,2.5,7.6,0,4,2,0,7.4,9.0,Core Systems / SDE,98.8,Ready,1
STU-2026-00083,CSE,7,6.92,68.1,57.2,3,0,67.2,89.4,58.7,5.7,4.6,6.1,4.9,7.9,10.0,1.7,8.5,0,2,1,0,8.1,9.3,Data Analyst / ML Engineer,89.5,Ready,1
STU-2026-00084,CSE,6,6.03,64.0,73.3,3,1,59.5,70.4,58.8,4.7,5.0,4.2,7.7,7.3,8.9,3.9,7.5,2,2,3,0,6.3,6.0,Core Systems / SDE,89.7,Ready,1
STU-2026-00085,CSE,7,5.94,60.7,54.7,1,0,61.5,67.2,61.1,6.4,6.2,3.7,7.4,7.3,10.0,1.6,6.0,2,2,2,0,8.2,8.2,Full-Stack Developer,97.8,Ready,1
STU-2026-00086,CSE,6,6.11,60.4,65.5,4,0,65.0,55.5,72.7,6.5,7.6,5.8,0.0,0.0,10.0,2.0,7.6,1,5,0,0,8.7,8.2,Full-Stack Developer,0.9,Needs Training,0
STU-2026-00087,ECE,8,7.17,71.3,65.1,0,0,61.1,55.5,58.4,7.1,4.7,2.6,7.5,0.0,4.7,4.4,7.8,0,2,1,1,7.9,7.8,Core Systems / SDE,70.1,Near-Ready,1
STU-2026-00088,ECE,6,7.53,76.3,62.1,0,0,88.2,76.8,65.8,7.5,7.0,5.2,5.6,10.0,8.9,3.5,6.8,1,1,0,0,9.7,7.3,Data Analyst / ML Engineer,98.9,Ready,1
STU-2026-00089,Mech,7,7.7,91.3,73.1,1,0,79.5,80.3,62.0,5.7,6.3,7.6,4.9,10.0,3.8,5.1,10.0,0,4,0,0,6.5,6.6,Data Analyst / ML Engineer,96.3,Ready,1
STU-2026-00090,ISE,7,7.74,75.8,65.7,1,0,86.5,80.3,81.0,10.0,9.3,7.7,7.0,0.0,8.3,1.8,8.0,1,3,0,0,7.6,6.7,Core Systems / SDE,96.2,Ready,1
STU-2026-00091,CSE,7,6.57,63.7,65.9,1,0,71.0,70.3,81.8,9.2,7.3,5.9,9.6,7.8,10.0,5.5,8.9,0,2,1,0,8.3,6.8,Core Systems / SDE,99.2,Ready,1
STU-2026-00092,ECE,7,8.56,83.9,81.1,0,0,99.0,92.8,54.8,6.8,6.4,4.5,5.7,9.1,9.1,8.5,8.9,0,2,2,2,8.1,8.7,Data Analyst / ML Engineer,99.3,Ready,1
STU-2026-00093,EEE,7,6.91,79.8,62.8,1,1,76.6,79.4,58.1,4.4,6.9,8.2,0.0,7.0,3.6,2.3,9.7,2,4,1,2,5.1,7.5,Data Analyst / ML Engineer,7.0,Needs Training,0
STU-2026-00094,ECE,7,7.9,88.5,76.8,1,1,74.8,79.9,96.1,10.0,7.5,6.0,9.1,0.0,7.3,5.9,10.0,1,2,2,1,4.6,6.9,Core Systems / SDE,90.4,Ready,1
STU-2026-00095,EEE,7,7.22,85.1,77.5,1,1,73.5,76.5,79.5,7.4,7.0,5.6,8.6,6.4,5.0,5.3,9.4,1,4,3,2,6.3,7.4,Core Systems / SDE,98.0,Ready,1
STU-2026-00096,ISE,7,7.81,78.8,74.3,1,1,77.0,88.9,68.4,8.7,7.6,3.2,7.7,8.8,7.6,1.2,8.0,1,1,2,0,6.0,8.6,Data Analyst / ML Engineer,98.5,Ready,1
STU-2026-00097,ISE,7,7.16,76.7,64.6,2,2,66.2,77.9,88.9,6.8,6.7,5.1,7.2,10.0,6.8,0.8,5.0,0,3,0,0,7.8,7.2,Core Systems / SDE,82.5,Ready,1
STU-2026-00098,ISE,7,7.83,72.3,78.0,1,1,76.1,73.4,91.7,7.9,10.0,8.6,0.0,0.0,9.6,2.8,6.7,0,1,1,1,4.2,4.2,Full-Stack Developer,0.2,Needs Training,0
STU-2026-00099,CSE,7,7.39,72.7,74.7,1,0,55.3,78.6,64.2,6.0,5.4,5.0,6.9,9.1,10.0,4.8,8.4,2,1,1,1,5.3,7.6,Data Analyst / ML Engineer,97.5,Ready,1
STU-2026-00100,CSE,6,8.3,75.8,77.0,0,0,97.5,80.0,99.0,10.0,8.8,7.6,9.1,9.8,8.6,2.5,9.7,1,2,2,3,6.9,8.6,Core Systems / SDE,100.0,Ready,1
STU-2026-00101,CSE,7,6.5,70.1,73.9,3,0,91.7,72.8,77.9,9.6,6.4,7.3,6.8,0.0,10.0,3.5,10.0,0,4,1,2,9.2,9.0,Core Systems / SDE,88.5,Ready,1
STU-2026-00102,ECE,6,5.45,58.6,53.6,3,1,51.5,81.1,47.0,8.1,3.8,5.9,4.1,6.9,1.3,4.0,6.3,0,3,2,1,8.3,9.3,Data Analyst / ML Engineer,26.5,Needs Training,0
STU-2026-00103,CSE,6,6.33,67.2,73.3,1,0,65.9,68.8,65.8,5.1,6.6,6.3,6.7,6.3,10.0,5.3,6.3,0,1,3,1,6.9,6.4,Core Systems / SDE,85.4,Ready,1
STU-2026-00104,ISE,7,8.58,79.8,76.7,0,0,77.4,88.9,70.8,5.7,7.9,4.9,6.3,0.0,10.0,3.8,8.1,0,3,0,0,7.8,8.5,Core Systems / SDE,93.1,Ready,1
STU-2026-00105,Mech,8,7.23,78.6,76.2,2,0,67.0,66.1,72.5,10.0,7.4,6.9,6.1,8.6,3.6,3.6,5.8,1,3,2,2,6.8,7.0,Data Analyst / ML Engineer,93.0,Ready,1
STU-2026-00106,CSE,8,7.5,61.3,71.0,2,1,77.9,66.8,89.4,8.4,9.1,8.0,7.0,0.0,10.0,6.6,8.7,3,5,1,1,4.9,5.1,Core Systems / SDE,85.6,Ready,1
STU-2026-00107,ISE,6,6.24,63.5,64.1,0,0,85.8,78.9,82.4,7.9,9.3,7.7,7.8,9.4,7.4,2.1,7.5,0,4,0,1,5.8,6.8,Core Systems / SDE,98.2,Ready,1
STU-2026-00108,EEE,7,7.47,74.9,58.1,2,1,75.5,74.8,59.2,6.6,5.3,5.9,8.2,10.0,5.9,4.0,9.0,2,0,1,0,7.0,9.7,Data Analyst / ML Engineer,97.9,Ready,1
STU-2026-00109,CSE,7,6.27,55.0,77.6,3,3,54.7,73.1,69.6,6.3,7.7,6.5,5.5,0.0,10.0,5.4,7.1,1,2,2,1,7.9,7.3,Core Systems / SDE,7.3,Needs Training,0
STU-2026-00110,CSE,6,6.44,69.0,66.0,2,1,59.3,67.4,69.5,5.0,9.2,5.4,7.7,7.7,10.0,3.2,10.0,1,2,1,0,6.0,5.7,Full-Stack Developer,70.6,Near-Ready,1
STU-2026-00111,CSE,7,6.96,70.1,75.2,0,0,83.8,77.9,59.0,6.7,7.1,4.6,6.8,9.8,7.8,1.9,10.0,0,1,1,1,8.7,8.7,Data Analyst / ML Engineer,99.2,Ready,1
STU-2026-00112,CSE,7,7.89,82.4,66.1,0,0,86.4,90.3,93.2,10.0,8.8,5.9,9.3,0.0,8.6,3.0,10.0,1,1,1,1,5.1,6.0,Core Systems / SDE,95.8,Ready,1
STU-2026-00113,Mech,8,8.01,92.1,77.9,0,0,61.9,65.2,64.5,7.2,6.3,5.6,6.2,7.4,5.4,6.6,5.2,0,2,3,0,9.6,8.9,Core Systems / SDE,98.2,Ready,1
STU-2026-00114,EEE,6,8.04,82.3,75.6,2,1,72.7,56.5,78.8,8.7,9.5,8.3,8.6,10.0,6.7,3.6,7.0,2,4,2,2,6.3,6.5,Core Systems / SDE,97.6,Ready,1
STU-2026-00115,ECE,7,5.65,65.9,50.0,2,1,60.9,63.7,53.2,6.2,4.2,6.1,7.3,0.0,3.9,4.1,6.0,1,3,0,0,6.4,6.9,Core Systems / SDE,16.3,Needs Training,0
STU-2026-00116,Mech,8,7.39,83.1,80.6,1,0,82.4,88.2,43.6,5.7,3.2,4.8,4.6,0.0,5.2,2.1,9.9,1,1,2,0,4.9,6.8,Data Analyst / ML Engineer,58.1,Needs Training,1
STU-2026-00117,EEE,7,7.18,76.0,70.9,2,1,93.5,54.4,68.7,5.9,8.5,5.4,5.8,10.0,5.7,4.1,10.0,1,3,4,0,6.9,6.5,Data Analyst / ML Engineer,97.4,Ready,1
STU-2026-00118,CSE,8,5.71,55.4,57.5,2,1,59.8,65.3,62.8,4.7,6.7,6.3,7.2,0.0,10.0,1.5,10.0,3,4,2,0,6.9,7.0,Core Systems / SDE,78.3,Ready,1
STU-2026-00119,Mech,6,7.42,65.2,76.2,0,0,70.6,85.3,39.6,4.4,4.5,3.0,4.3,0.0,5.9,7.6,7.5,1,1,1,1,7.9,7.1,QA Specialist,53.9,Needs Training,1
STU-2026-00120,ISE,7,7.12,74.8,63.4,1,1,79.6,74.6,92.2,10.0,8.1,9.8,8.8,10.0,8.3,6.1,7.5,0,3,2,1,6.7,6.1,Core Systems / SDE,98.1,Ready,1
